date,open,high,low,close
11/6/2019,124.94,125.4,124.884,125.18
12/6/2019,125.6,126.2,125.56,125.83
13/6/2019,126.03,126.77,125.9599,126.6
14/6/2019,127.21,127.63,126.26,126.56
17/6/2019,126.7,126.77,126.17,126.48
18/6/2019,127.58,127.75,126.39,127.12
19/6/2019,126.77,127.99,126.7,127.89
20/6/2019,130.41,131.49,130.185,131.11
21/6/2019,131.77,132.17,131.07,131.98
24/6/2019,132.77,134.035,132.58,133.94
25/6/2019,134.9,135.55,133.21,134.2
26/6/2019,132.99,133.55,132.41,132.97
27/6/2019,132.38,132.97,132.26,132.84
28/6/2019,133.05,133.34,132.61,133.2
1/7/2019,131.56,131.755,130.55,130.62
2/7/2019,131.27,133.63,131.16,133.41
3/7/2019,133.61,134.1,133.23,133.63
5/7/2019,131.46,132.32,130.81,132.14
8/7/2019,132.18,132.341,131.28,131.29
9/7/2019,131.43,132.1,131.1575,131.75
10/7/2019,132.94,133.87,132.35,133.83
11/7/2019,133.58,133.7,132.41,132.7
12/7/2019,132.89,133.69,132.53,133.53
15/7/2019,133.18,133.53,132.805,133.53
16/7/2019,133.18,133.3,132.13,132.4
17/7/2019,133,134.6,132.89,134.58
18/7/2019,133.83,136.63,133.61,136.48
19/7/2019,135.45,136.03,133.97,134.47
22/7/2019,134.56,134.82,134.32,134.45
23/7/2019,134.43,134.95,133.56,133.69
24/7/2019,134.59,134.84,133.98,134.37
25/7/2019,134.24,134.28,133.09,133.42
26/7/2019,134.24,134.29,133.59,133.64
29/7/2019,134.06,134.729,133.44,134.53
30/7/2019,134.76,135.18,134.41,134.98
31/7/2019,135.03,135.42,133.02,133.21
1/8/2019,132.42,136.43,132.305,136.41
2/8/2019,135.39,136.6,135.37,135.89
5/8/2019,137.93,138.64,137.05,137.79
6/8/2019,138.33,139.03,138.005,138.91
7/8/2019,141.28,142.47,140.88,141.02
8/8/2019,140.9,142.37,140.71,141.73
9/8/2019,141.28,142.03,140.96,141.26
12/8/2019,141.67,143.38,141.64,142.63
13/8/2019,143.17,143.285,139.35,141.78
14/8/2019,142.9,143.75,142.05,142.75
15/8/2019,142.96,144.02,142.61,143.7
16/8/2019,142.75,143.13,141.8,142.78
19/8/2019,141.33,141.79,140.85,141.11
20/8/2019,141.77,142.255,141.6,142.21
21/8/2019,141.62,142.17,141.46,141.76
22/8/2019,141.39,141.9,141.17,141.4
23/8/2019,141.84,144.33,141.64,144.17
26/8/2019,144.35,144.97,143.91,144.19
27/8/2019,144.3,145.68,144.27,145.57
28/8/2019,145.39,145.68,144.64,145.16
29/8/2019,145.4,145.49,143.28,144.12
30/8/2019,143.84,144.8822,143.02,143.75
3/9/2019,144.96,146.13,144.741,145.75
4/9/2019,145.54,146.82,145.5,146.66
5/9/2019,144.98,145.015,142,143.14
6/9/2019,143.64,144.06,141.86,141.92
9/9/2019,142.37,142.46,141.18,141.39
10/9/2019,141.23,141.525,140.16,140.18
11/9/2019,140.34,141.26,140.28,141.03
12/9/2019,142.68,143.1,141.11,141.32
13/9/2019,141.73,141.99,140.06,140.15
16/9/2019,141.6,142.05,141.02,141.32
17/9/2019,141.82,142.11,141.2237,141.6
18/9/2019,141.93,142.53,139.81,140.71
19/9/2019,141.57,141.74,141.0851,141.28
20/9/2019,141.61,143.03,141.46,142.95
23/9/2019,143.22,143.94,143.07,143.75
24/9/2019,143.21,144.77,142.88,144.51
25/9/2019,144.08,144.29,141.44,141.83
26/9/2019,142.19,142.57,141.56,141.79
27/9/2019,140.35,141.68,140.16,141.06
30/9/2019,139.77,140.21,138.03,138.87
1/10/2019,138.07,140.19,137.8,139.63
2/10/2019,140.79,141.88,140.462,141.26
3/10/2019,141.36,143.25,141.29,141.9
4/10/2019,141.48,142.31,141.14,141.9
7/10/2019,141.16,141.7709,140.24,140.69
8/10/2019,142.03,142.29,141.17,141.92
9/10/2019,142.16,142.58,141.62,142.05
10/10/2019,141.59,141.66,140.578,140.81
11/10/2019,139.97,140.19,138.91,140.03
14/10/2019,140.45,140.82,140.34,140.59
15/10/2019,140.27,140.3,139.21,139.61
16/10/2019,140.14,140.53,139.6988,140.41
17/10/2019,140.5,141.12,140.42,140.61
18/10/2019,140.5,140.71,140.32,140.46
21/10/2019,140.72,140.76,139.6,139.79
22/10/2019,140.13,140.3,139.72,140.2
23/10/2019,140.59,141,140.5,140.53
24/10/2019,141.02,141.74,140.93,141.53
25/10/2019,142.79,142.83,141.4,141.86
28/10/2019,141.25,141.25,140.4004,140.64
29/10/2019,140,140.63,139.78,140.25
30/10/2019,140.54,141.04,139.55,141.02
31/10/2019,141.98,142.69,141.89,142.43
1/11/2019,142.21,142.9,142.01,142.56
4/11/2019,142.26,142.45,141.7446,142.15
5/11/2019,140.65,140.89,139.38,139.85
6/11/2019,140.12,140.79,140,140.45
7/11/2019,140.11,140.2,137.6,138.27
8/11/2019,137.73,138.33,137.39,137.39
11/11/2019,137.61,137.79,136.435,137.06
12/11/2019,137.03,137.59,136.19,137.43
13/11/2019,137.8,138.22,137.64,137.98
14/11/2019,138.39,138.94,137.8685,138.56
15/11/2019,138.03,138.4208,137.971,138.21
18/11/2019,138.44,138.85,138.3,138.62
19/11/2019,138.13,138.9716,138.13,138.69
20/11/2019,138.53,139,138.1,138.76
21/11/2019,138.39,138.56,137.77,138
22/11/2019,138.37,138.46,137.66,137.74
25/11/2019,137.32,137.62,136.99,137.08
26/11/2019,136.98,137.8,136.58,137.74
27/11/2019,137.03,137.21,136.83,137.01
29/11/2019,137.1,138.1341,137.08,137.86
2/12/2019,137.32,138.09,137.3,137.79
3/12/2019,139.04,139.57,138.97,139.11
4/12/2019,139.16,139.165,138.59,138.92
5/12/2019,138.8,139.45,138.79,139
6/12/2019,137.76,137.8262,137.4,137.62
9/12/2019,137.8,137.81,137.45,137.58
10/12/2019,138.25,138.33,137.74,137.97
11/12/2019,138.2,139.3,138.1201,138.92
12/12/2019,139.78,139.85,137.88,138.43
13/12/2019,138.52,139.21,137.98,139.05
16/12/2019,139.2,139.39,138.8,139.04
17/12/2019,139.02,139.3,138.851,139.01
18/12/2019,138.86,139.25,138.81,139.02
19/12/2019,139.04,139.55,138.87,139.38
20/12/2019,139.37,139.52,138.98,139.52
23/12/2019,139.53,139.96,139.53,139.95
24/12/2019,140.44,141.33,140.43,141.27
26/12/2019,142.06,142.47,141.9062,142.38
27/12/2019,142.26,142.73,142.17,142.33
30/12/2019,142.56,142.8,142.46,142.63
31/12/2019,143.31,143.605,142.8,142.9
2/1/2020,143.86,144.21,143.4,143.95
3/1/2020,145.75,146.32,145.4,145.86
6/1/2020,148.44,148.48,146.95,147.39
7/1/2020,147.57,148.14,147.43,147.97
8/1/2020,148.49,148.61,146.14,146.86
9/1/2020,146.07,146.41,145.44,146.03
10/1/2020,146.22,146.99,146.17,146.91
13/1/2020,146.35,146.38,145.78,145.82
14/1/2020,145.42,145.81,145.082,145.69
15/1/2020,146.21,146.73,145.82,146.54
16/1/2020,146.27,146.4658,145.755,146.31
17/1/2020,146.51,146.99,146.31,146.58
21/1/2020,145.77,146.86,145.551,146.74
22/1/2020,146.68,146.81,146.38,146.79
23/1/2020,147,147.62,146.62,147.12
24/1/2020,146.9,148.38,146.89,147.98
27/1/2020,149.24,149.32,148.4575,148.99
28/1/2020,148.36,148.56,147.53,147.66
29/1/2020,147.7,148.56,147.61,148.46
30/1/2020,148.69,149.31,148.01,148.47
31/1/2020,148.88,149.68,148.81,149.33
3/2/2020,148.66,148.78,147.6802,148.36
4/2/2020,146.97,147.03,145.8,146.43
5/2/2020,146.38,146.81,146.16,146.61
6/2/2020,147.28,147.63,147,147.4
7/2/2020,147.83,148.18,147.335,147.79
10/2/2020,148.21,148.4464,147.91,148.17
11/2/2020,148.03,148.16,147.01,147.66
12/2/2020,147.42,147.81,147.1567,147.54
13/2/2020,148.24,148.58,147.9501,148.38
14/2/2020,148.74,149.13,148.63,149
18/2/2020,149.88,151.09,149.47,150.91
19/2/2020,151,151.82,150.815,151.79
20/2/2020,152,152.83,151.95,152.41
21/2/2020,154.43,155.2219,154.18,154.7
24/2/2020,158.5,158.53,155.36,156.09
25/2/2020,155.12,156.08,152.91,153.3
26/2/2020,153.82,155.28,152.9,153.97
27/2/2020,155.58,156.27,153.9,154
28/2/2020,152.71,152.77,147.05,148.38
2/3/2020,150,150.73,149.04,149.2
3/3/2020,150.84,155.24,150.735,153.89
4/3/2020,154.4,154.96,153.7,154.16
5/3/2020,156.06,157.62,155.72,157.49
6/3/2020,158.33,159.25,154.54,157.55
9/3/2020,158.6,159.37,156.33,157.81
10/3/2020,156.18,156.41,154.39,154.48
11/3/2020,156.25,156.5,153.61,153.93
12/3/2020,151.53,151.55,146.85,147.79
13/3/2020,149.42,149.6,141.58,143.28
16/3/2020,137.56,142.96,136.12,141.64
17/3/2020,140.18,146.2,139.93,143.56
18/3/2020,141.75,142.88,138.5,140.7
19/3/2020,139.08,140.5,137.8503,138.04
20/3/2020,140.71,141.17,139.14,140.11
23/3/2020,142.675,146.93,142.28,146.3
24/3/2020,153.5,155.66,152.05,153.4
25/3/2020,152.58,152.878,151.01,151.3
26/3/2020,153.3107,154.81,152.08,153.24
27/3/2020,153,153.55,152,152.25
30/3/2020,152.41,153.08,151.57,152.92
31/3/2020,151.36,151.8,147.97,148.05
1/4/2020,148.2,150.08,147.85,149.45
2/4/2020,151.2,152.5,150.7,151.9
3/4/2020,152.23,153.09,151.66,152.65
6/4/2020,154.16,157.22,153.96,156.88
7/4/2020,155.33,156.14,154.38,156.04
8/4/2020,155.91,155.94,154.59,154.65
9/4/2020,158.08,159.08,157.21,158.69
13/4/2020,159.17,162.38,158.625,161.41
14/4/2020,162.73,164.42,161.78,162.68
15/4/2020,161.8,162.54,160.8061,161.85
16/4/2020,161.88,163.15,160.65,161.71
17/4/2020,159.72,160.07,158.12,158.57
20/4/2020,158.62,160.22,158.46,159.7
21/4/2020,157.6,159.21,157.04,158.61
22/4/2020,160.5,161.74,160.42,161.73
23/4/2020,162.39,163.6,161.84,163.34
24/4/2020,163.13,163.31,160.89,162.64
27/4/2020,161.88,162,160.41,161.56
28/4/2020,160.89,160.98,159.16,160.84
29/4/2020,160.1,161.85,159.76,161.73
30/4/2020,160.22,160.82,158.13,158.8
1/5/2020,158,160.45,157.8,159.78
4/5/2020,160.33,160.95,159.91,160.34
5/5/2020,160.16,161.1,159.33,161.02
6/5/2020,158.99,159.81,158.1,158.95
7/5/2020,159.5,161.96,159.36,161.39
8/5/2020,161.08,162,160,160.42
11/5/2020,160.34,160.71,158.89,159.42
12/5/2020,160.3,160.95,159.72,160.04
13/5/2020,160.94,161.62,160.54,161.58
14/5/2020,161.53,163.34,161.51,163.01
15/5/2020,164.02,164.8,163.08,163.93
18/5/2020,164.33,164.495,162.4102,162.69
19/5/2020,163.6,164.43,163.04,164.26
20/5/2020,164.54,164.9599,163.89,164.65
21/5/2020,163.46,163.58,161.37,162.25
22/5/2020,162.88,163.47,162.74,163.21
26/5/2020,162.58,162.58,160.69,160.89
27/5/2020,159.42,161.34,159.2,161.18
28/5/2020,162.12,162.4598,160.9,161.72
29/5/2020,162.58,163.4,162.32,162.91
1/6/2020,162.9235,163.74,162.39,163.66
